YearStart,YearEnd,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Sample_Size
2011,2011,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.1,29.1,4368
2011,2011,DC,District of Columbia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,19.8,19.8,4356
2011,2011,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.7,23.7,4368
2011,2011,DE,Delaware,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27,27,4728
2011,2011,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,28.8,4530
2011,2011,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35,35,4530
2011,2011,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,26.6,11770
2011,2011,FL,Florida,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.9,26.9,11564
2011,2011,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.7,36.7,11770
2011,2011,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.7,34.7,9353
2011,2011,GA,Georgia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.7,26.7,9466
2011,2011,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28,28,9353
2011,2011,HI,Hawaii,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,21.3,21.3,7382
2011,2011,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.8,33.8,7407
2011,2011,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.8,21.8,7407
2011,2011,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29,29,6898
2011,2011,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,6898
2011,2011,IA,Iowa,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.9,25.9,7036
2011,2011,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,5739
2011,2011,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27,27,5739
2011,2011,ID,Idaho,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,21.4,21.4,5784
2011,2011,IL,Illinois,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.1,25.1,5292
2011,2011,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.9,36.9,5355
2011,2011,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,27.1,5355
2011,2011,IN,Indiana,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,29.2,29.2,8004
2011,2011,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,30.8,8048
2011,2011,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,8048
2011,2011,KS,Kansas,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.8,26.8,20272
2011,2011,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,19619
2011,2011,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,19619
2011,2011,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,10114
2011,2011,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.1,36.1,10114
2011,2011,KY,Kentucky,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,29.3,29.3,10097
2011,2011,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,10404
2011,2011,LA,Louisiana,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,33.8,33.8,10608
2011,2011,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,33.4,10404
2011,2011,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.7,22.7,20532
2011,2011,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.6,36.6,20532
2011,2011,MA,Massachusetts,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.5,23.5,20634
2011,2011,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.3,28.3,9450
2011,2011,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.1,36.1,9450
2011,2011,MD,Maryland,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.2,26.2,9684
2011,2011,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.2,37.2,12643
2011,2011,ME,Maine,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23,23,12799
2011,2011,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,12643
2011,2011,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.2,34.2,10579
2011,2011,MI,Michigan,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.6,23.6,10772
2011,2011,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.3,31.3,10579
2011,2011,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.8,36.8,14387
2011,2011,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.7,25.7,14387
2011,2011,MN,Minnesota,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,21.9,21.9,14639
2011,2011,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.6,34.6,6095
2011,2011,MO,Missouri,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,28.4,28.4,6134
2011,2011,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.3,30.3,6095
2011,2011,MS,Mississippi,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,34.9,8504
2011,2011,MS,Mississippi,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,36,36,8540
2011,2011,MS,Mississippi,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34,34,8504
2011,2011,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.6,35.6,9882
2011,2011,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.6,24.6,9882
2011,2011,MT,Montana,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,24.4,24.4,9839
2011,2011,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.7,26.7,11130
2011,2011,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.1,29.1,10790
2011,2011,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36,36,10790
2011,2011,ND,North Dakota,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27.1,27.1,5042
2011,2011,ND,North Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,4982
2011,2011,ND,North Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36,36,4982
2011,2011,NE,Nebraska,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.3,26.3,24433
2011,2011,NE,Nebraska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,24366
2011,2011,NE,Nebraska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.4,28.4,24366
2011,2011,NH,New Hampshire,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22.5,22.5,6168
2011,2011,NH,New Hampshire,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,6049
2011,2011,NH,New Hampshire,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.2,26.2,6049
2011,2011,NJ,New Jersey,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.4,26.4,14194
2011,2011,NJ,New Jersey,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.7,23.7,14130
2011,2011,NJ,New Jersey,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.8,37.8,14130
2011,2011,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,8981
2011,2011,NM,New Mexico,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.3,25.3,8864
2011,2011,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.3,26.3,8981
2011,2011,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,5205
2011,2011,NV,Nevada,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,24.3,24.3,5100
2011,2011,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.7,35.7,5205
2011,2011,NY,New York,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.3,26.3,7276
2011,2011,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,7222
2011,2011,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,7222
2011,2011,OH,Ohio,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.2,36.2,9339
2011,2011,OH,Ohio,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,9339
2011,2011,OH,Ohio,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27,27,9472
2011,2011,OK,Oklahoma,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.3,34.3,8159
2011,2011,OK,Oklahoma,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.1,31.1,8159
2011,2011,OK,Oklahoma,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,31.2,31.2,8283
2011,2011,OR,Oregon,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,19.8,19.8,5899
2011,2011,OR,Oregon,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,5959
2011,2011,OR,Oregon,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,26.7,5959
2011,2011,PA,Pennsylvania,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.2,26.2,10879
2011,2011,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36,36,10850
2011,2011,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,28.6,10850
2011,2011,RI,Rhode Island,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,26.2,26.2,6283
2011,2011,RI,Rhode Island,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.1,37.1,6182
2011,2011,RI,Rhode Island,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,6182
2011,2011,SC,South Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35,35,12352
2011,2011,SC,South Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,30.8,12352
2011,2011,SC,South Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27.2,27.2,12365
2011,2011,SD,South Dakota,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27,27,8045
2011,2011,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.3,36.3,7820
2011,2011,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.1,28.1,7820
2011,2011,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.3,37.3,5575
2011,2011,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,29.2,5575
2011,2011,TN,Tennessee,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,35.1,35.1,5606
2011,2011,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,14024
2011,2011,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,14024
2011,2011,TX,Texas,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27.2,27.2,14225
2011,2011,US,National,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.4,25.4,475078
2011,2011,US,National,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,470700
2011,2011,US,National,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,470531
2011,2011,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.5,34.5,11918
2011,2011,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,24.4,11918
2011,2011,UT,Utah,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,18.9,18.9,12163
2011,2011,VA,Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,6151
2011,2011,VA,Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,29.2,6151
2011,2011,VA,Virginia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25,25,6199
2011,2011,VT,Vermont,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,21,21,6924
2011,2011,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.3,34.3,6771
2011,2011,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,6771
2011,2011,WA,Washington,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22,22,14469
2011,2011,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,26.5,13896
2011,2011,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.5,34.5,13896
2011,2011,WI,Wisconsin,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.2,36.2,4941
2011,2011,WI,Wisconsin,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22.7,22.7,4858
2011,2011,WI,Wisconsin,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.7,27.7,4941
2011,2011,WV,West Virginia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,35.1,35.1,5238
2011,2011,WV,West Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,4958
2011,2011,WV,West Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.4,32.4,4958
2011,2011,WY,Wyoming,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.3,36.3,6565
2011,2011,WY,Wyoming,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25,25,6565
2011,2011,WY,Wyoming,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.5,25.5,6553
2012,2012,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.7,25.7,4093
2012,2012,AK,Alaska,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,18.5,18.5,4336
2012,2012,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.1,39.1,4093
2012,2012,AL,Alabama,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,27.2,27.2,9014
2012,2012,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33,33,8651
2012,2012,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,8651
2012,2012,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.2,34.2,4943
2012,2012,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.5,34.5,4943
2012,2012,AR,Arkansas,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,31.5,31.5,5174
2012,2012,AZ,Arizona,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22.6,22.6,7285
2012,2012,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26,26,6951
2012,2012,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36,36,6951
2012,2012,CA,California,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,19.2,19.2,13671
2012,2012,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25,25,13646
2012,2012,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.3,35.3,13646
2012,2012,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,11643
2012,2012,CO,Colorado,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,17,17,12239
2012,2012,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.5,20.5,11643
2012,2012,CT,Connecticut,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22.1,22.1,8760
2012,2012,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.7,36.7,8312
2012,2012,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.6,25.6,8312
2012,2012,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30,30,3644
2012,2012,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.9,21.9,3644
2012,2012,DC,District of Columbia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,17.4,17.4,3817
2012,2012,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.9,26.9,4944
2012,2012,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.1,39.1,4944
2012,2012,DE,Delaware,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.5,23.5,5172
2012,2012,FL,Florida,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.3,23.3,7613
2012,2012,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.9,36.9,7282
2012,2012,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.2,25.2,7282
2012,2012,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.1,29.1,5737
2012,2012,GA,Georgia,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.6,23.6,6091
2012,2012,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.5,35.5,5737
2012,2012,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,23.6,7371
2012,2012,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.5,32.5,7371
2012,2012,HI,Hawaii,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,18.7,18.7,7580
2012,2012,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,6769
2012,2012,IA,Iowa,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,23.1,23.1,7160
2012,2012,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.3,34.3,6769
2012,2012,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,5578
2012,2012,ID,Idaho,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,20.3,20.3,5889
2012,2012,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.8,26.8,5578
2012,2012,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,5452
2012,2012,IL,Illinois,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,21.8,21.8,5578
2012,2012,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.1,28.1,5452
2012,2012,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.4,31.4,8225
2012,2012,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,8225
2012,2012,IN,Indiana,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.9,25.9,8628
2012,2012,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.7,35.7,11238
2012,2012,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.8,29.8,11238
